[(0.2, 0.25, 0.25), ['Ofast', 'avx', 32, 48, 14, 6], 46.11]
[(0.2, 0.25, 0.5), ['O2', 'avx2', 31, 96, 4, 18], 45.13]
[(0.2, 0.25, 0.75), ['O3', 'avx512', 24, 80, 8, 6], 46.34]
[(0.2, 0.25, 1), ['O2', 'avx512', 31, 112, 8, 20], 47.73]
[(0.4, 0.25, 0.25), ['O2', 'avx', 32, 112, 8, 3], 46.61]
[(0.4, 0.25, 0.5), ['Ofast', 'avx512', 28, 112, 4, 34], 45.65]
[(0.4, 0.25, 0.75), ['O2', 'avx', 32, 32, 12, 8], 50.42]
[(0.4, 0.25, 1), ['O3', 'avx', 27, 64, 6, 26], 44.07]
[(0.6, 0.25, 0.25), ['Ofast', 'avx2', 29, 112, 14, 8], 48.87]
[(0.6, 0.25, 0.5), ['Ofast', 'avx2', 29, 96, 19, 5], 47.82]
[(0.6, 0.25, 0.75), ['O3', 'avx', 32, 80, 6, 12], 46.86]
[(0.6, 0.25, 1), ['O2', 'avx512', 29, 96, 76, 2], 45.81]
[(0.8, 0.25, 0.25), ['O2', 'avx2', 32, 64, 3, 8], 46.13]
[(0.8, 0.25, 0.5), ['Ofast', 'avx512', 28, 112, 112, 2], 43.59]
[(0.8, 0.25, 0.75), ['O3', 'avx2', 30, 112, 12, 5], 46.59]
[(0.8, 0.25, 1), ['Ofast', 'avx', 30, 112, 7, 11], 52.58]
[(0.2, 0.5, 0.25), ['O3', 'avx2', 29, 64, 3, 10], 49.43]
[(0.2, 0.5, 0.5), ['O3', 'avx2', 29, 112, 3, 23], 50.98]
[(0.2, 0.5, 0.75), ['O3', 'avx2', 31, 64, 11, 6], 46.56]
[(0.2, 0.5, 1), ['Ofast', 'avx2', 32, 80, 3, 20], 45.66]
[(0.4, 0.5, 0.25), ['Ofast', 'avx', 30, 96, 11, 6], 45.65]
[(0.4, 0.5, 0.5), ['Ofast', 'avx', 31, 80, 124, 2], 44.49]
[(0.4, 0.5, 0.75), ['Ofast', 'avx', 31, 112, 2, 67], 48.08]
